"hour" "cell.pop"
"1" 0.9 15
"2" 3.9 15
"3" 9 15
"4" 11.9 22
"5" 13.7 29
"6" 15 22
"7" 17.2 22
"8" 18.9 22
"9" 22.4 26
"10" 24 26
"11" 26.4 41
"12" 30.3 48
"13" 32.1 55
"14" 33.8 50
"15" 35.2 67
"16" 37.6 64
"17" 40.2 65
"18" 41.9 72
"19" 43.7 72
"20" 46.3 81
"21" 48.5 76
"22" 51.4 102
"23" 52.5 126
"24" 54.4 143
"25" 56.2 154
"26" 58.8 143
"27" 59.9 178
"28" 61.4 178
"29" 65.2 190
"30" 67.3 254
"31" 68.7 298
"32" 69.3 327
"33" 71.1 358
"34" 72.4 428
"35" 74.5 501
"36" 75.4 577
"37" 77.2 570
"38" 77.6 627
"39" 80.2 627
"40" 81.3 702
"41" 83.5 712
"42" 84.8 723
"43" 86.1 763
"44" 88.3 775
"45" 90.3 799
"46" 92.5 813
"47" 94.2 799
"48" 96.4 813
"49" 98.6 825
"50" 101.2 863
"51" 102.3 858
"52" 103.4 870
"53" 104.7 877
"54" 105.6 879
"55" 108.7 898
"56" 110.2 903
"57" 112.4 901
"58" 113.7 920
"59" 116.1 901
"60" 120.7 908
"61" 125.1 913
