"id" "age" "vol"
"1" 1 0.1
"2" 2 0.1
"3" 3 0.1
"4" 4 0.1
"5" 4 0.6
"6" 5 0.5
"7" 5 0.5
"8" 5 1
"9" 5 1.5
"10" 5 1.7
"11" 5 3.4
"12" 6 1.5
"13" 6 2.3
"14" 6 2.8
"15" 6 4
"16" 6 4.5
"17" 7 1.2
"18" 7 1.9
"19" 7 2.6
"20" 7 3.2
"21" 7 4
"22" 7 4.7
"23" 7 6.2
"24" 8 1.6
"25" 8 2.1
"26" 8 2.4
"27" 8 2.9
"28" 8 3.6
"29" 8 4
"30" 8 4.3
"31" 8 4.8
"32" 8 6
"33" 8 6.1
"34" 8 7.5
"35" 9 2.7
"36" 9 3.4
"37" 9 4
"38" 9 4.4
"39" 9 4.8
"40" 9 5.2
"41" 9 5.5
"42" 9 5.8
"43" 9 6.2
"44" 9 7
"45" 9 8.4
"46" 9 9.8
"47" 9 10.2
"48" 10 3.4
"49" 10 3.9
"50" 10 4.7
"51" 10 5.6
"52" 10 6.2
"53" 10 7.8
"54" 10 8.3
"55" 10 9.3
"56" 11 3.5
"57" 11 4
"58" 11 4.6
"59" 11 5.6
"60" 11 6.1
"61" 11 6.9
"62" 11 7.3
"63" 11 8.4
"64" 11 9.3
"65" 11 10.7
"66" 12 8.5
"67" 12 10.2
"68" 12 10.8
"69" 12 12.7
"70" 12 13.8
"71" 12 15
"72" 13 8.1
"73" 13 8.9
"74" 13 10.3
"75" 13 11.7
"76" 13 12.2
"77" 13 13.2
"78" 14 9.3
"79" 14 10.3
"80" 14 12.4
"81" 15 11.4
"82" 15 12.2
"83" 15 13.4
"84" 15 13.7
"85" 15 14.3
"86" 15 15.5
"87" 15 16.2
"88" 15 16.8
"89" 16 12.2
"90" 16 12.4
"91" 16 13.2
"92" 16 16.8
"93" 16 21
"94" 16 27.5
"95" 17 11.2
"96" 17 13
"97" 17 15.1
"98" 17 15.5
"99" 17 17
"100" 18 8.5
"101" 18 11.7
"102" 18 16.8
"103" 18 24
"104" 19 12.2
"105" 19 15.9
"106" 19 16.2
"107" 19 16.6
"108" 19 18.1
"109" 19 18.8
"110" 19 19.4
"111" 19 19.9
"112" 19 25.8
"113" 20 26.6
"114" 20 24.2
"115" 20 21.1
"116" 20 20.9
"117" 20 16.9
"118" 20 15.3
"119" 20 14.8
"120" 20 11.1
"121" 21 10.3
"122" 21 15.4
"123" 21 18.2
"124" 21 19.4
"125" 21 19.7
"126" 21 23.9
"127" 21 29.9
"128" 22 16.8
"129" 22 19
"130" 22 21.7
"131" 22 22.4
"132" 23 21.7
"133" 23 23.9
"134" 23 24
"135" 23 25.8
"136" 23 30.7
"137" 24 22.4
"138" 25 23.3
"139" 25 29.1
"140" 26 21
"141" 27 35
"142" 28 21.7
